written;hostname;services;procedure;stratos
yes;ADAD2CTL0001;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0001;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0001;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0001;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0001;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0001;Service_File_Replication;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0001;Service_Net_Logon;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0002;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0002;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0002;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0002;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ADAD2CTL0002;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0002;Service_File_Replication;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ADAD2CTL0002;Service_Net_Logon;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ARAR2CTL0001;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ARAR2CTL0001;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ARAR2CTL0001;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ARAR2CTL0001;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;ARAR2CTL0001;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ARAR2CTL0001;Service_File_Replication;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;ARAR2CTL0001;Service_Net_Logon;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BEBE2CTL0001;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BEBE2CTL0001;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BEBE2CTL0001;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BEBE2CTL0001;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BEBE2CTL0001;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BEBE2CTL0001;Service_File_Replication;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BEBE2CTL0001;Service_Net_Logon;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BLADESAN0005;Port_CRC_errors;http://monitoring-dc.app.corp/kb/storage:san:crc_errors;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;BLADESAN0005;TRAP;http://monitoring-dc.app.corp/kb/system:san:trap;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;BLADESAN0006;Port_CRC_errors;http://monitoring-dc.app.corp/kb/storage:san:crc_errors;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;BLADESAN0006;TRAP;http://monitoring-dc.app.corp/kb/system:san:trap;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;BRBR2CTL0001;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BRBR2CTL0001;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BRBR2CTL0001;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BRBR2CTL0001;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;BRBR2CTL0001;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BRBR2CTL0001;Service_File_Replication;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;BRBR2CTL0001;Service_Net_Logon;http://monitoring-dc.app.corp/kb/system:windows:services:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;CZCZ2CTL0001;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;CZCZ2CTL0001;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;CZCZ2CTL0001;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;CZCZ2CTL0001;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;CZCZ2CTL0001;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
